Date,Price
2017-03-14,0.963
2017-03-15,0.956
2017-03-16,0.976
2017-03-17,0.972
2017-03-20,0.973
2017-03-21,0.971
2017-03-22,0.978
2017-03-23,0.976
2017-03-24,0.976
2017-03-27,0.988
2017-03-28,0.989
2017-03-29,0.99
2017-03-30,0.99
2017-03-31,0.986
2017-04-05,0.991
2017-04-06,0.988
2017-04-07,1.003
2017-04-10,0.985
2017-04-11,0.986
2017-04-12,0.998
2017-04-13,1.002
2017-04-14,1.004
2017-04-17,1.004
2017-04-18,0.998
2017-04-19,0.988
2017-04-20,0.987
2017-04-21,0.98
2017-04-24,0.974
2017-04-25,0.978
2017-04-26,0.972
2017-04-27,0.971
2017-04-28,0.977
2017-05-02,0.968
2017-05-03,0.966
2017-05-04,0.936
2017-05-05,0.928
2017-05-08,0.926
2017-05-09,0.922
2017-05-10,0.917
2017-05-11,0.923
2017-05-12,0.929
2017-05-15,0.935
2017-05-16,0.939
2017-05-17,0.939
2017-05-18,0.937
2017-05-19,0.935
2017-05-22,0.938
2017-05-23,0.943
2017-05-24,0.938
2017-05-25,0.942
2017-05-26,0.941
2017-05-31,0.936
2017-06-01,0.934
2017-06-02,0.929
2017-06-05,0.943
2017-06-06,0.95
2017-06-07,0.952
2017-06-08,0.949
2017-06-09,0.938
2017-06-12,0.933
2017-06-13,0.926
2017-06-14,0.929
2017-06-15,0.929
2017-06-16,0.924
2017-06-19,0.924
2017-06-20,0.924
2017-06-21,0.924
2017-06-22,0.929
2017-06-23,0.926
2017-06-26,0.926
2017-06-27,0.921
2017-06-28,0.926
2017-06-29,0.926
2017-06-30,0.916
2017-07-03,0.916
2017-07-04,0.895
2017-07-05,0.896
2017-07-06,0.895
2017-07-07,0.891
2017-07-10,0.866
2017-07-11,0.866
2017-07-12,0.875
2017-07-13,0.875
2017-07-14,0.865
2017-07-17,0.878
2017-07-18,0.88
2017-07-19,0.88
2017-07-20,0.881
2017-07-21,0.887
2017-07-24,0.885
2017-07-25,0.886
2017-07-26,0.882
2017-07-27,0.893
2017-07-28,0.89
2017-07-31,0.894
2017-08-01,0.895
2017-08-02,0.893
2017-08-03,0.89
2017-08-04,0.894
2017-08-07,0.875
2017-08-08,0.874
2017-08-09,0.883
2017-08-10,0.908
2017-08-11,0.903
2017-08-14,0.91
2017-08-15,0.898
2017-08-16,0.888
2017-08-17,0.904
2017-08-18,0.9
2017-08-21,0.9
2017-08-22,0.899
2017-08-23,0.898
2017-08-24,0.897
2017-08-25,0.895
2017-08-28,0.9
2017-08-29,0.908
2017-08-30,0.904
2017-08-31,0.9
2017-09-01,0.903
2017-09-04,0.914
2017-09-05,0.913
2017-09-06,0.911
2017-09-07,0.909
2017-09-08,0.912
2017-09-11,0.902
2017-09-12,0.899
2017-09-13,0.901
2017-09-14,0.896
2017-09-15,0.9
2017-09-18,0.896
2017-09-19,0.888
2017-09-20,0.89
2017-09-21,0.88
2017-09-22,0.877
2017-09-25,0.873
2017-09-26,0.884
2017-09-27,0.877
2017-09-28,0.872
2017-09-29,0.875
2017-10-09,0.88
2017-10-10,0.882
2017-10-11,0.88
2017-10-12,0.882
2017-10-13,0.885
2017-10-16,0.889
2017-10-17,0.883
2017-10-18,0.88
2017-10-19,0.877
2017-10-20,0.883
2017-10-23,0.876
2017-10-24,0.879
2017-10-25,0.876
2017-10-26,0.876
2017-10-27,0.868
2017-10-30,0.866
2017-10-31,0.871
2017-11-01,0.871
2017-11-02,0.876
2017-11-03,0.876
2017-11-06,0.87
2017-11-07,0.878
2017-11-08,0.875
2017-11-09,0.878
2017-11-10,0.875
2017-11-13,0.873
2017-11-14,0.873
2017-11-15,0.874
2017-11-16,0.873
2017-11-17,0.873
2017-11-20,0.878
2017-11-21,0.873
2017-11-22,0.874
2017-11-23,0.874
2017-11-24,0.875
2017-11-27,0.872
2017-11-28,0.873
2017-11-29,0.867
2017-11-30,0.855
2017-12-01,0.85
2017-12-04,0.848
2017-12-05,0.844
2017-12-06,0.838
2017-12-07,0.832
2017-12-08,0.828
2017-12-11,0.828
2017-12-12,0.82
2017-12-13,0.817
2017-12-14,0.828
2017-12-15,0.826
2017-12-18,0.828
2017-12-19,0.83
2017-12-20,0.828
2017-12-21,0.827
2017-12-22,0.829
2017-12-25,0.838
2017-12-26,0.838
2017-12-27,0.84
2017-12-28,0.848
2017-12-29,0.848
2018-01-02,0.852
2018-01-03,0.853
2018-01-04,0.851
2018-01-05,0.852
2018-01-08,0.853
2018-01-09,0.853
2018-01-10,0.847
2018-01-11,0.85
2018-01-12,0.852
2018-01-15,0.86
2018-01-16,0.856
2018-01-17,0.849
2018-01-18,0.845
2018-01-19,0.841
2018-01-22,0.844
2018-01-23,0.845
2018-01-24,0.842
2018-01-25,0.857
2018-01-26,0.852
2018-01-29,0.849
2018-01-30,0.84
2018-01-31,0.843
2018-02-01,0.837
2018-02-02,0.841
2018-02-05,0.823
2018-02-06,0.83
2018-02-07,0.824
2018-02-08,0.815
2018-02-09,0.814
2018-02-12,0.813
2018-02-13,0.818
2018-02-14,0.815
2018-02-22,0.808
2018-02-23,0.811
2018-02-26,0.816
2018-02-27,0.816
2018-02-28,0.809
2018-03-01,0.807
2018-03-02,0.809
2018-03-05,0.811
2018-03-06,0.809
2018-03-07,0.814
2018-03-08,0.812
2018-03-09,0.809
2018-03-12,0.81
2018-03-13,0.807
2018-03-14,0.81
2018-03-15,0.807
2018-03-16,0.805
2018-03-19,0.798
2018-03-20,0.799
2018-03-21,0.801
2018-03-22,0.807
2018-03-23,0.81
2018-03-26,0.808
2018-03-27,0.81
2018-03-28,0.802
2018-03-29,0.792
2018-03-30,0.794
2018-04-02,0.795
2018-04-03,0.8
2018-04-04,0.8
2018-04-09,0.798
2018-04-10,0.801
2018-04-11,0.803
2018-04-12,0.804
2018-04-13,0.8
2018-04-16,0.802
2018-04-17,0.804
2018-04-18,0.809
2018-04-19,0.824
2018-04-20,0.823
2018-04-23,0.818
2018-04-24,0.808
2018-04-25,0.807
